Umur,,Indeks Massa Tubuh,,,,,,
Tahun,Bulan,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD
,47,11.8,12.8,14,15.3,16.8,18.5,20.5
,48,11.8,12.8,14,15.3,16.8,18.5,20.6
,49,11.8,12.8,13.9,15.3,16.8,18.5,20.6
,50,11.8,12.8,13.9,15.3,16.8,18.6,20.7
,51,11.8,12.8,13.9,15.3,16.8,18.6,20.7
,52,11.7,12.8,13.9,15.2,16.8,18.6,20.7
,53,11.7,12.7,13.9,15.3,16.8,18.6,20.8
,54,11.7,12.7,13.9,15.3,16.8,18.7,20.8
,55,11.7,12.7,13.9,15.3,16.8,18.7,20.9
,56,11.7,12.7,13.9,15.3,16.8,18.7,20.9
,57,11.7,12.7,13.9,15.3,16.9,18.7,21
,58,11.7,12.7,13.9,15.3,16.9,18.8,21
,59,11.6,12.7,13.9,15.3,16.9,18.8,21
,60,11.6,12.7,13.9,15.3,16.9,18.8,21.1
5,1,11.8,12.7,13.9,15.2,16.9,18.9,21.3
5,2,11.8,12.7,13.9,15.2,16.9,18.9,21.4
5,3,11.8,12.7,13.9,15.2,16.9,18.9,21.5
5,4,11.8,12.7,13.9,15.2,16.9,18.9,21.5
5,5,11.7,12.7,13.9,15.2,16.9,19,21.6
5,6,11.7,12.7,13.9,15.2,16.9,19,21.7
5,7,11.7,12.7,13.9,15.2,16.9,19,21.7
5,8,11.7,12.7,13.9,15.3,17,19.1,21.8
5,9,11.7,12.7,13.9,15.3,17,19.1,21.9
5,10,11.7,12.7,13.9,15.3,17,19.1,22
5,11,11.7,12.7,13.9,15.3,17,19.2,22.1
6,0,11.7,12.7,13.9,15.3,17,19.2,22.1
6,1,11.7,12.7,13.9,15.3,17,19.3,22.2
6,2,11.7,12.7,13.9,15.3,17,19.3,22.3
6,3,11.7,12.7,13.9,15.3,17.1,19.3,22.4
6,4,11.7,12.7,13.9,15.3,17.1,19.4,22.5
6,5,11.7,12.7,13.9,15.3,17.1,19.4,22.6
6,6,11.7,12.7,13.9,15.3,17.1,19.5,22.7
6,7,11.7,12.7,13.9,15.3,17.2,19.5,22.8
6,8,11.7,12.7,13.9,15.3,17.2,19.6,22.9
6,9,11.7,12.7,13.9,15.4,17.2,19.6,23
6,10,11.7,12.7,13.9,15.4,17.2,19.7,23.1
6,11,11.7,12.7,13.9,15.4,17.3,19.7,23.2
7,0,11.8,12.7,13.9,15.4,17.3,19.8,23.3
7,1,11.8,12.7,13.9,15.4,17.3,19.8,23.4
7,2,11.8,12.8,14,15.4,17.4,19.9,23.5
7,3,11.8,12.8,14,15.5,17.4,20,23.6
7,4,11.8,12.8,14,15.5,17.4,20,23.7
7,5,11.8,12.8,14,15.5,17.5,20.1,23.9
7,6,11.8,12.8,14,15.5,17.5,20.1,24
7,7,11.8,12.8,14,15.5,17.5,20.2,24.1
7,8,11.8,12.8,14,15.6,17.6,20.3,24.2
7,9,11.8,12.8,14.1,15.6,17.6,20.3,24.4
7,10,11.9,12.9,14.1,15.6,17.6,20.4,24.5
7,11,11.9,12.9,14.1,15.7,17.7,20.5,24.6
8,0,11.9,12.9,14.1,15.7,17.7,20.6,24.8
8,1,11.9,12.9,14.1,15.7,17.8,20.6,24.9
8,2,11.9,12.9,14.2,15.7,17.8,20.7,25.1
8,3,11.9,12.9,14.2,15.8,17.9,20.8,25.2
8,4,11.9,13,14.2,15.8,17.9,20.9,25.3
8,5,12,13,14.2,15.8,18,20.9,25.5
8,6,12,13,14.3,15.9,18,21,25.6
8,7,12,13,14.3,15.9,18.1,21.1,25.8
8,8,12,13,14.3,15.9,18.1,21.2,25.9
8,9,12,13.1,14.3,16,18.2,21.3,26.1
8,10,12.1,13.1,14.4,16,18.2,21.3,26.2
8,11,12.1,13.1,14.4,16.1,18.3,21.4,26.4
9,0,12.1,13.1,14.4,16.1,18.3,21.5,26.5
9,1,12.1,13.2,14.5,16.1,18.4,21.6,26.7
9,2,12.1,13.2,14.5,16.2,18.4,21.7,26.8
9,3,12.2,13.2,14.5,16.2,18.5,21.8,27
9,4,12.2,13.2,14.6,16.3,18.6,21.9,27.2
9,5,12.2,13.3,14.6,16.3,18.6,21.9,27.3
9,6,12.2,13.3,14.6,16.3,18.7,22,27.5
9,7,12.3,13.3,14.7,16.4,18.7,22.1,27.6
9,8,12.3,13.4,14.7,16.4,18.8,22.2,27.8
9,9,12.3,13.4,14.7,16.5,18.8,22.3,27.9
9,10,12.3,13.4,14.8,16.5,18.9,22.4,28.1
9,11,12.4,13.4,14.8,16.6,19,22.5,28.2
10,0,12.4,13.5,14.8,16.6,19,22.6,28.4
10,1,12.4,13.5,14.9,16.7,19.1,22.7,28.5
10,2,12.4,13.5,14.9,16.7,19.2,22.8,28.7
10,3,12.5,13.6,15,16.8,19.2,22.8,28.8
10,4,12.5,13.6,15,16.8,19.3,22.9,29
10,5,12.5,13.6,15,16.9,19.4,23,29.1
10,6,12.5,13.7,15.1,16.9,19.4,23.1,29.3
10,7,12.6,13.7,15.1,17,19.5,23.2,29.4
10,8,12.6,13.7,15.2,17,19.6,23.3,29.6
10,9,12.6,13.8,15.2,17.1,19.6,23.4,29.7
10,10,12.7,13.8,15.3,17.1,19.7,23.5,29.9
10,11,12.7,13.8,15.3,17.2,19.8,23.6,30
11,0,12.7,13.9,15.3,17.2,19.9,23.7,30.2
11,1,12.8,13.9,15.4,17.3,19.9,23.8,30.3
11,2,12.8,14,15.4,17.4,20,23.9,30.5
11,3,12.8,14,15.5,17.4,20.1,24,30.6
11,4,12.9,14,15.5,17.5,20.2,24.1,30.8
11,5,12.9,14.1,15.6,17.5,20.2,24.2,30.9
11,6,12.9,14.1,15.6,17.6,20.3,24.3,31.1
11,7,13,14.2,15.7,17.7,20.4,24.4,31.2
11,8,13,14.2,15.7,17.7,20.5,24.5,31.4
11,9,13,14.3,15.8,17.8,20.6,24.7,31.5
11,10,13.1,14.3,15.8,17.9,20.6,24.8,31.6
11,11,13.1,14.3,15.9,17.9,20.7,24.9,31.8
12,0,13.2,14.4,16,18,20.8,25,31.9
12,1,13.2,14.4,16,18.1,20.9,25.1,32
12,2,13.2,14.5,16.1,18.1,21,25.2,32.2
12,3,13.3,14.5,16.1,18.2,21.1,25.3,32.3
12,4,13.3,14.6,16.2,18.3,21.1,25.4,32.4
12,5,13.3,14.6,16.2,18.3,21.2,25.5,32.6
12,6,13.4,14.7,16.3,18.4,21.3,25.6,32.7
12,7,13.4,14.7,16.3,18.5,21.4,25.7,32.8
12,8,13.5,14.8,16.4,18.5,21.5,25.8,33
12,9,13.5,14.8,16.4,18.6,21.6,25.9,33.1
12,10,13.5,14.8,16.5,18.7,21.6,26,33.2
12,11,13.6,14.9,16.6,18.7,21.7,26.1,33.3
13,0,13.6,14.9,16.6,18.8,21.8,26.2,33.4
13,1,13.6,15,16.7,18.9,21.9,26.3,33.6
13,2,13.7,15,16.7,18.9,22,26.4,33.7
13,3,13.7,15.1,16.8,19,22,26.5,33.8
13,4,13.8,15.1,16.8,19.1,22.1,26.6,33.9
13,5,13.8,15.2,16.9,19.1,22.2,26.7,34
13,6,13.8,15.2,16.9,19.2,22.3,26.8,34.1
13,7,13.9,15.2,17,19.3,22.4,26.9,34.2
13,8,13.9,15.3,17,19.3,22.4,27,34.3
13,9,13.9,15.3,17.1,19.4,22.5,27.1,34.4
13,10,14,15.4,17.1,19.4,22.6,27.1,34.5
13,11,14,15.4,17.2,19.5,22.7,27.2,34.6
14,0,14,15.4,17.2,19.6,22.7,27.3,34.7
14,1,14.1,15.5,17.3,19.6,22.8,27.4,34.7
14,2,14.1,15.5,17.3,19.7,22.9,27.5,34.8
14,3,14.1,15.6,17.4,19.7,22.9,27.6,34.9
14,4,14.1,15.6,17.4,19.8,23,27.7,35
14,5,14.2,15.6,17.5,19.9,23.1,27.7,35.1
14,6,14.2,15.7,17.5,19.9,23.1,27.8,35.1
14,7,14.2,15.7,17.6,20,23.2,27.9,35.2
14,8,14.3,15.7,17.6,20,23.3,28,35.3
14,9,14.3,15.8,17.6,20.1,23.3,28,35.4
14,10,14.3,15.8,17.7,20.1,23.4,28.1,35.4
14,11,14.3,15.8,17.7,20.2,23.5,28.2,35.5
15,0,14.4,15.9,17.8,20.2,23.5,28.2,35.5
15,1,14.4,15.9,17.8,20.3,23.6,28.3,35.6
15,2,14.4,15.9,17.8,20.3,23.6,28.4,35.7
15,3,14.4,16,17.9,20.4,23.7,28.4,35.7
15,4,14.5,16,17.9,20.4,23.7,28.5,35.8
15,5,14.5,16,17.9,20.4,23.8,28.5,35.8
15,6,14.5,16,18,20.5,23.8,28.6,35.8
15,7,14.5,16.1,18,20.5,23.9,28.6,35.9
15,8,14.5,16.1,18,20.6,23.9,28.7,35.9
15,9,14.5,16.1,18.1,20.6,24,28.7,36
15,10,14.6,16.1,18.1,20.6,24,28.8,36
15,11,14.6,16.2,18.1,20.7,24.1,28.8,36
16,0,14.6,16.2,18.2,20.7,24.1,28.9,36.1
16,1,14.6,16.2,18.2,20.7,24.1,28.9,36.1
16,2,14.6,16.2,18.2,20.8,24.2,29,36.1
16,3,14.6,16.2,18.2,20.8,24.2,29,36.1
16,4,14.6,16.2,18.3,20.8,24.3,29,36.2
16,5,14.6,16.3,18.3,20.9,24.3,29.1,36.2
16,6,14.7,16.3,18.3,20.9,24.3,29.1,36.2
16,7,14.7,16.3,18.3,20.9,24.4,29.1,36.2
16,8,14.7,16.3,18.3,20.9,24.4,29.2,36.2
16,9,14.7,16.3,18.4,21,24.4,29.2,36.3
16,10,14.7,16.3,18.4,21,24.4,29.2,36.3
16,11,14.7,16.3,18.4,21,24.5,29.3,36.3
17,0,14.7,16.4,18.4,21,24.5,29.3,36.3
17,1,14.7,16.4,18.4,21.1,24.5,29.3,36.3
17,2,14.7,16.4,18.4,21.1,24.6,29.3,36.3
17,3,14.7,16.4,18.5,21.1,24.6,29.4,36.3
17,4,14.7,16.4,18.5,21.1,24.6,29.4,36.3
17,5,14.7,16.4,18.5,21.1,24.6,29.4,36.3
17,6,14.7,16.4,18.5,21.2,24.6,29.4,36.3
17,7,14.7,16.4,18.5,21.2,24.7,29.4,36.3
17,8,14.7,16.4,18.5,21.2,24.7,29.5,36.3
17,9,14.7,16.4,18.5,21.2,24.7,29.5,36.3
17,10,14.7,16.4,18.5,21.2,24.7,29.5,36.3
17,11,14.7,16.4,18.6,21.2,24.8,29.5,36.3
18,0,14.7,16.4,18.6,21.3,24.8,29.5,36.3
18,1,14.7,16.5,18.6,21.3,24.8,29.5,36.3
18,2,14.7,16.5,18.6,21.3,24.8,29.6,36.3
18,3,14.7,16.5,18.6,21.3,24.8,29.6,36.3
18,4,14.7,16.5,18.6,21.3,24.8,29.6,36.3
18,5,14.7,16.5,18.6,21.3,24.9,29.6,36.2
18,6,14.7,16.5,18.6,21.3,24.9,29.6,36.2
18,7,14.7,16.5,18.6,21.4,24.9,29.6,36.2
18,8,14.7,16.5,18.6,21.4,24.9,29.6,36.2
18,9,14.7,16.5,18.7,21.4,24.9,29.6,36.2
18,10,14.7,16.5,18.7,21.4,24.9,29.6,36.2
18,11,14.7,16.5,18.7,21.4,25,29.7,36.2
19,0,14.7,16.5,18.7,21.4,25,29.7,36.2
